Filename,Phase,Timestamp,Iterations,Coverage,Spacing,Collisions,RobotsAtTarget
swarm_simulation_2026-03-27_001355 Phase 0.gif,Phase 0,2026-03-27_001355,69,8.5,2.7,3,15
swarm_simulation_2026_03_27_001222 Phase 0 Test.gif,Phase 0,2026_03_27_001222,69,8.5,2.7,3,15
swarm_simulation_2026-03-29_105108 Phase 1.gif,Phase 1,2026-03-29_105108,69,8.5,2.7,2,15
swarm_simulation_2026-03-29_105526 Phase 1.gif,Phase 1,2026-03-29_105526,69,8.5,2.7,2,15
swarm_simulation_2026-03-29_110230 Phase 2.gif,Phase 2,2026-03-29_110230,125,12.5,1.8,45,15
swarm_simulation_2026-03-29_111827 Phase 2.gif,Phase 2,2026-03-29_111827,130,12.5,1.8,52,15
swarm_simulation_2026-03-29_112950 Phase 3.gif,Phase 3,2026-03-29_112950,56,15.3,2.7,2,15
swarm_simulation_2026-03-29_115754 Phase 4.gif,Phase 4,2026-03-29_115754,57,15.3,2.7,1,15
swarm_simulation_2026-03-29_122834.gif,Phase 4,2026-03-29_122834,57,15.3,2.7,1,15
swarm_simulation_2026-03-29_122911.gif,Phase 4,2026-03-29_122911,57,15.3,2.7,1,15
swarm_simulation_2026-03-29_123001.gif,Phase 4,2026-03-29_123001,57,15.3,2.7,1,15
swarm_simulation_2026-03-29_123131.gif,Phase 4,2026-03-29_123131,57,15.3,2.7,1,15
swarm_simulation_2026-03-29_123209.gif,Phase 4,2026-03-29_123209,57,15.3,2.7,1,15
swarm_simulation_2026-03-29_123246.gif,Phase 4,2026-03-29_123246,57,15.3,2.7,1,15
